x,y,word
-0.9906328,-0.21655117,create
-0.19257544,-0.13546841,brings
-0.7206188,-0.26292405,blend
0.01052962,-0.108769484,woody
-0.21453084,-0.56823134,citrus
1.0567554,-0.23100501,happy
0.73787117,-0.19305912,relaxed
1.7227492,-0.38492465,buzz
1.346888,-0.31963608,creative
0.529523,-0.09262244,focused
3.2003477,-0.16302489,depression
3.1541889,-0.12971939,appetite
0.59349996,0.047690656,also
-0.55879354,0.048894048,known
-0.5511123,-0.07588139,tangie
-1.7083163,-0.30314007,combines
-0.66189307,0.018813422,legendary
-0.53824025,0.036241166,la
-2.182033,-0.46703517,kush
-0.8496956,-0.18207307,unique
-0.182758,0.60346174,growing
-0.2846521,0.48359025,tall
0.08410389,0.61127764,cycle
-0.3069505,1.0172045,flower
0.38684905,0.078894615,need
0.34983155,1.560855,indoors
-0.4332485,0.1159067,phenotypes
-1.1151032,0.1333183,orange
-0.5251992,-0.63040566,aroma
0.25401074,-0.039863046,offer
-0.4359459,-0.48955473,flavor
0.76895314,0.30152106,levels
0.52203,0.18376397,novice
-2.556877,-0.32501137,cross
-0.6052792,-0.22322877,flavorful
-0.2772396,0.808846,best
0.06839465,-0.111968696,attributes
-0.11689026,0.25100654,compact
-0.20484458,0.27599066,growth
-0.43982306,0.1312051,structure
0.51393735,-0.52886903,offers
0.8658928,-0.15943414,stimulate
0.3067458,-0.05106925,toward
1.3332438,-0.011652881,sleep
-0.16460262,0.04249511,marijuana
-1.4127324,-0.69319826,sour
-0.33956575,0.13929309,frosty
-0.22524682,-0.004552781,coat
0.028405666,-0.09321522,gives
-0.11700269,-0.035804488,potency
3.4381735,0.061813787,patients
0.31075925,0.004551479,medicinal
3.4378116,-0.28844437,stress
2.8991604,-0.048507437,nausea
1.7383333,-0.08548687,without
0.38239014,0.1303151,heavy
1.0183706,-0.16685005,sedation
-0.8818688,0.022239147,colorado
-2.064965,-0.17937127,crossing
-0.8542877,-0.19376586,bubba
-1.1356612,-0.27277228,parent
-0.5147761,-0.30919614,complex
0.013910916,-0.6478079,profile
-0.1637186,-0.10665579,coffee
0.07368788,-0.20289451,spice
-0.037599627,-0.27580807,undertones
-0.11142124,-0.045195844,described
0.716518,-0.10851811,social
0.36302945,-0.13792929,dreamy
0.77782655,-0.025824046,experience
1.4484577,-0.11829111,perfect
0.9482541,0.20407638,end
2.729566,0.012322639,day
2.2082748,0.16096658,may
2.1161902,-0.26087183,help
2.5376723,0.17287104,treating
3.689493,0.047649827,anxiety
1.2066891,0.09884489,disorders
0.94754875,0.58126944,cbd
-1.4340671,0.5736948,cannabis
0.3327052,0.15748073,ratio
1.6363698,0.09520388,inflammation
1.3606956,0.05473206,muscle
0.58433294,-0.047355562,tension
2.2693074,-0.24592936,consumers
1.5442036,-0.456119,relaxing
-0.62838346,-0.10400941,granddaddy
-1.6861032,0.059622567,purple
-0.853019,-0.3020917,grape
-0.034677763,-0.12466831,pepper
0.4368562,0.020054292,leave
0.5252333,-0.14039434,soothing
0.30427387,0.016855111,used
0.6319394,0.037871104,treat
0.17457297,0.14163056,variety
1.2409602,0.061702423,symptoms
1.0348586,0.061800353,spasms
2.6522338,0.030995311,insomnia
-0.83706737,-0.1566535,coast
-0.2099901,0.8837423,grow
-1.5176936,-0.3698274,x
0.25921008,-0.2676011,deep
-1.1098026,0.44946158,dense
-0.6697001,0.23903114,resinous
-0.039384454,-0.85479385,pine
-0.2199227,-0.34792307,fuel
0.73836637,-0.17289011,provides
2.6390712,-0.39574802,mood
1.9157562,0.16313319,making
1.6506882,0.022060424,ideal
0.42948353,0.31008908,long
2.8120291,-0.6121374,physical
0.66310245,-0.051843006,migraines
-0.8078019,-0.031114774,rare
-0.55579084,-0.026705509,dankness
-1.4233233,-0.123734996,crosses
-0.2549443,0.029166395,colorful
-0.43219814,0.97276264,flowers
-1.2338811,-0.17930536,blue
-0.41427875,0.13992955,red
-0.5584094,0.06922361,hues
0.0766586,-0.015841212,give
-0.14177723,-0.15878913,piney
0.061270542,-0.22262117,sweetness
1.6398436,0.095373005,make
1.8150798,0.122899696,great
0.72644573,0.006895518,nighttime
-1.425151,-0.003168027,crossed
-0.7243813,-0.07185889,blackberry
-0.43162575,0.41709676,produces
-0.19479984,1.2285633,yields
-0.29013264,0.14488249,sticky
0.25174633,-0.11315979,powerful
-0.77062994,-0.012009441,smell
1.2560132,0.08893816,good
-1.1120796,0.018697854,california
-0.5723501,0.033275455,master
-0.3353953,1.5934376,plants
0.08667229,2.137668,weeks
-0.10351597,0.2577083,usually
-0.16803482,-0.26895303,balanced
0.3044156,-0.012901318,enough
0.590224,-0.2849601,heady
0.2578845,0.050101895,often
-0.50081676,0.03943437,farm
-0.42135775,0.06923454,pure
-1.3712853,0.072626844,afghani
-0.67586726,0.10005831,landrace
0.23489384,0.24472651,many
-0.24728674,0.079199106,varieties
0.046300724,-0.026164725,come
-0.41862568,-0.024259457,hindu
-0.23060697,0.13897665,region
-0.23092775,0.1137169,crystal
-0.46675453,0.29485154,resin
0.7194545,0.09897826,find
0.73086953,-0.27613917,stimulating
0.089739546,0.31970477,average
0.47474623,2.2588098,flowering
0.9437263,1.4949113,time
0.49998787,1.2191061,outdoor
-0.015776688,0.8458725,gardens
0.22812068,0.4439608,finish
-0.877736,0.08596872,named
-0.45622233,0.106447466,los
-0.45087528,0.105189994,angeles
-0.09574804,0.20336449,popular
1.5768151,0.084576055,loss
-0.8058877,-0.23896664,fruity
-0.10468954,0.057220124,found
-0.600114,-0.11261999,sfv
-0.5392094,0.0654564,developed
-2.2981775,-0.16235574,created
-0.59085894,-0.0631245,west
-0.8222167,-0.2203336,combination
0.014725248,-0.004370277,indicas
0.64899635,-0.11194404,continued
0.9355321,-0.07072105,consumption
0.06365533,-0.30989236,earth
-1.2600749,-0.47356027,lemon
2.2636042,-0.48686856,enjoy
-0.8008009,-0.282893,jack
0.4223752,-0.27573013,offering
-0.55790865,-0.06471733,lime
-0.24726915,-0.06362214,TRUE
-0.094455995,0.54480344,yield
0.4444276,0.8292071,days
-0.80727816,-0.039309897,dna
-0.8497367,-0.07879725,famous
-0.30915356,-0.117753275,emits
0.013755284,-0.6026742,terpene
0.975106,0.62644583,content
0.080054134,0.043224785,full
-0.17779942,-0.07994192,hashy
1.5708739,-0.03481584,chronic
-0.34268916,-0.05244252,family
1.2213455,-0.27640045,euphoric
-0.21825816,-0.042395193,influence
1.2381778,-0.2719396,creativity
-0.25503284,-0.012847247,double
-0.45287746,-0.026798196,bubble
-1.4754654,-0.24692641,alien
-0.5090926,-0.07957817,dawg
-0.8637162,-0.07566772,trainwreck
-0.69382787,-0.07388942,classic
0.12704791,-0.035683878,induces
0.53455764,-0.025096798,psychoactive
0.7088614,-0.05828947,helps
0.23761277,-0.029957911,intense
0.70605826,-0.12268392,mellow
0.40037572,-0.32388398,delivers
0.4210678,-0.022399409,activities
-0.8368613,0.06474702,thai
-0.6198743,-0.15799505,together
-0.16566312,-0.05838456,scent
0.09591616,-0.41214094,floral
-1.3009374,1.0192273,cup
0.097092375,0.567317,around
-0.43496123,0.11343974,world
-0.36306763,-0.3260927,skunky
0.28312197,1.409273,growers
0.4425422,1.3002537,indoor
0.18812642,0.2723849,easy
-0.32394862,0.6683541,short
0.7126057,0.45170778,typically
0.015998317,0.042931505,although
-0.031634647,-0.008314042,typical
-0.47899914,-0.006763098,parents
-0.17035156,0.06429672,ice
-0.4763599,-0.021677231,mother
-1.3567635,0.12853698,northern
-1.0723377,0.12699397,lights
-0.6788174,0.08867103,original
-0.1618102,0.21200195,grower
0.61206543,-0.02821298,ease
0.66368383,-0.25368106,state
1.7341195,-0.50359255,mental
0.2853367,0.04058048,might
0.962913,-0.002923325,makes
-0.052888937,0.1100772,comes
-0.58088434,0.2123529,hairs
-0.97155637,0.14553647,bud
-0.7482109,-0.13486905,fire
-0.6391424,-0.12705158,inherits
0.21595658,0.032851573,even
-0.53191644,-0.016604392,tga
-0.20559329,-0.053238828,takes
-0.7884049,-0.027545957,black
-0.9883185,-0.41460162,cherry
-0.48697865,-0.5380153,berry
-0.24235648,-0.16347407,carries
0.04926984,0.26027817,fast
-0.41977996,0.12208201,space
0.31764466,-0.012017104,get
-0.31438744,0.011264533,called
-0.12488527,0.14358126,sativas
0.14722283,0.14689335,among
0.2740024,0.011022157,take
-0.158681,0.11553386,new
0.36708724,0.16084376,expect
0.31114948,0.02602151,including
1.2814133,-0.39867696,energy
-0.19778603,-0.09564175,exhibits
0.51453954,-0.10570058,energetic
-0.67477345,0.046260953,queen
-0.28733197,-0.42934385,aromas
-0.2140648,-0.21489829,bright
-0.44215456,-0.15158516,pineapple
-0.13835888,0.12182163,generous
0.5445705,0.4374883,well
-0.36088988,0.15759505,production
-0.8373192,0.7375117,place
-0.2411845,-0.048652723,crack
0.22223926,-0.08833406,invigorating
1.38436,-0.40301153,consumer
0.7149111,-0.1666863,activity
-0.8157727,0.14210777,big
-0.3779293,0.01251586,afghan
-0.17698729,0.1870033,leaves
-0.29429546,0.064808995,thick
-0.18052825,0.09208481,appearance
-0.39223325,-0.014021042,resulting
0.12996095,-0.012391425,sure
0.43350038,-0.04011126,keep
0.7010433,-0.072477326,couch
1.2832015,-0.024929686,daytime
1.5406976,-0.009004852,use
-0.3418283,-0.1096695,grapefruit
-0.06158466,0.033852637,light
-1.2704755,-0.23209177,cheese
-0.34392008,-0.1359723,lavender
-0.32055902,-0.16974692,hints
0.40660912,-0.1024656,rush
-1.3575871,-0.014473356,haze
-0.96020615,0.16807233,sensi
-0.60090107,0.093641885,breeder
-0.18394239,0.034765102,nice
0.27228537,-0.022038292,energizing
0.70974165,-0.050683264,doses
-0.30940604,-0.041632257,roots
-0.4106455,0.1287555,company
0.70961386,-0.11381852,sedating
0.012950069,0.0497849,top
1.9268432,0.2537761,choice
1.0035416,0.03632686,looking
0.7329292,-0.13374996,relax
-0.5752623,0.042334612,originally
0.22526073,0.18562545,quickly
-0.4729019,0.15216775,amsterdam
-0.010375503,0.097332716,favorite
-0.22626607,-0.1795912,sharp
0.625296,-0.07222054,qualities
